DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
02M600,The High School of Fashion Industries,1581,88,0.06,41,23,18,41,6
02M605,Humanities Preparatory Academy,232,39,0.17,10,0,0,28,1
02M615,Chelsea Career and Technical Education High School,434,36,0.08,14,8,6,19,3
02M630,Art and Design High School,1450,63,0.04,13,7,6,48,2
02M655,Life Sciences Secondary School,574,78,0.14,31,19,12,43,4
02M700,Universal Pre-K C.B.O.,953,88,0.09,26,0,0,62,0
02M896,Lower Manhattan Community Middle School,391,24,0.06,0,0,0,22,2
02M933,City Knoll Middle School,241,58,0.24,42,0,0,15,1
03M009,P.S. 009 Sarah Anderson,630,45,0.07,8,0,0,37,0
03M054,J.H.S. 054 Booker T. Washington,862,16,0.02,0,0,0,10,6
03M075,P.S. 075 Emily Dickinson,579,89,0.15,39,30,9,47,3
03M076,P.S. 076 A. Philip Randolph,505,138,0.27,80,59,21,57,1
03M084,P.S. 084 Lillian Weber,682,54,0.08,14,0,0,31,9
03M087,P.S. 087 William Sherman,914,17,0.02,15,0,0,0,2
03M145,"P.S. 145, The Bloomingdale School",421,127,0.30,76,66,10,45,6
03M149,P.S. 149 Sojourner Truth,242,47,0.19,26,20,6,19,2
03M163,P.S. 163 Alfred E. Smith,585,53,0.09,16,0,0,33,4
03M165,P.S. 165 Robert E. Simon,629,142,0.23,44,35,9,96,2
03M166,P.S. 166 The Richard Rodgers School of The Arts an,665,14,0.02,0,0,0,10,4
03M180,P.S. 180 Hugo Newman,561,72,0.13,24,15,9,42,6
03M185,P.S. 185 - The Early Childhood Discovery and Desig,265,24,0.09,17,0,0,7,0
03M191,The Riverside School for Makers and Artists,555,71,0.13,27,0,0,38,6
03M199,P.S. 199 Jessie Isador Straus,866,0,0,0,0,0,0,0
03M208,The Alain L. Locke Magnet School for Environmental,127,17,0.13,10,0,0,6,1
03M241,STEM Institute of Manhattan,145,27,0.19,9,0,0,16,2
03M242,P.S. 242 - The Young Diplomats Magnet Academy,182,55,0.30,28,22,6,27,0
03M243,M.S. 243 Center School,235,0,0,0,0,0,0,0
03M245,M.S. M245 The Computer School,403,10,0.02,0,0,0,8,2
03M247,M.S. M247 Dual Language Middle School,207,29,0.14,9,0,0,19,1
03M250,M.S. 250 West Side Collaborative Middle School,176,27,0.15,10,0,0,13,4
03M256,Lafayette Academy,147,31,0.21,13,0,0,16,2
03M258,Community Action School - MS 258,220,31,0.14,13,0,0,16,2
03M291,West End Secondary School,337,11,0.03,0,0,0,8,3
03M299,The Maxine Greene HS for Imaginative Inquiry,420,70,0.17,31,20,11,33,6
03M307,"Urban Assembly School for Media Studies, The",403,40,0.10,19,13,6,16,5
03M333,P.S. 333 Manhattan School for Children,765,12,0.02,0,0,0,8,4
03M334,The Anderson School,539,0,0,0,0,0,0,0
03M402,The Urban Assembly School for Green Careers,312,39,0.13,13,6,7,22,4
03M403,The Global Learning Collaborative,436,53,0.12,13,0,0,33,7
03M404,Innovation Diploma Plus,232,31,0.13,15,0,0,12,4
03M415,Wadleigh Secondary School for the Performing & Vis,272,41,0.15,24,16,8,16,1
03M417,Frank Mccourt High School,409,19,0.05,0,0,0,12,7
03M421,West Prep Academy,212,30,0.14,19,0,0,6,5
03M444,Home Schooling,148,0,0,0,0,0,0,0
03M452,P.S. 452,341,8,0.02,0,0,0,0,8
03M479,Beacon High School,1386,30,0.02,0,0,0,23,7
03M485,Fiorello H. LaGuardia High School of Music & Art a,2815,22,0.01,8,0,0,13,1
03M492,"High School for Law, Advocacy and Community Justic",466,58,0.12,24,16,8,30,4
03M494,High School of Arts and Technology,510,75,0.15,38,24,14,31,6
